keyword,frequency
app,5700
depop,3601
love,1802
items,1727
like,1606
get,1441
great,1299
would,1136
people,1135
's,1088
really,1078
item,1070
use,1031
sell,1026
n't,1025
account,1003
selling,962
make,957
money,955
paypal,919
seller,913
even,912
sellers,911
back,871
easy,852
also,851
things,845
time,841
shipping,832
way,796
one,782
new,750
buy,740
never,727
much,699
find,690
good,654
sold,645
please,616
“,608
many,597
”,596
clothes,579
see,574
update,573
want,564
using,557
could,550
something,539
lot,539
still,531
page,512
go,510
help,484
search,482
anything,475
've,463
customer,459
every,458
stuff,455
got,452
fix,452
used,451
tried,451
buyer,445
let,429
made,428
service,423
buying,410
super,393
take,382
better,378
know,377
try,375
think,372
times,367
...,358
able,357
always,353
buyers,348
wish,346
shop,345
bought,340
email,332
price,328
nothing,326
makes,324
first,321
problem,320
everything,320
need,319
since,317
apps,317
well,317
thing,316
post,313
already,312
amazing,311
work,311
issue,308
look,305
annoying,304
phone,302
clothing,302
'm,295
trying,284
looking,282
recommend,281
purchase,278
10,277
someone,276
sales,275
nice,275
getting,274
however,268
takes,266
option,266
cool,264
best,263
refund,263
put,261
ever,257
hard,256
explore,254
number,253
support,252
pay,252
poshmark,246
open,245
going,242
vintage,241
far,237
``,236
fees,236
though,236
click,235
2,235
ship,234
users,232
says,229
top,229
overall,227
prices,227
'',227
change,227
user,226
say,225
reviews,223
making,222
review,220
issues,220
messages,220
sale,220
keep,220
give,218
pretty,217
said,216
days,216
log,215
community,215
fee,215
add,211
send,210
3,210
sure,209
actually,208
little,207
deleted,206
experience,205
notifications,205
months,203
needs,202
feature,201
multiple,200
instagram,200
instead,199
right,199
fun,198
5,197
shopping,196
sometimes,196
reason,196
another,196
received,196
message,194
recently,192
everyone,191
without,191
two,189
day,188
ca,186
sent,185
found,184
place,184
yet,183
photos,183
awesome,183
saying,182
listing,182
contact,182
almost,181
easier,180
scammers,179
platform,178
absolutely,177
old,177
literally,175
feel,175
payment,173
scammed,172
frustrating,170
away,169
bad,169
years,169
ago,168
keeps,168
label,167
notification,165
different,164
sign,162
size,160
accounts,159
ebay,157
definitely,156
response,155
weeks,155
store,153
crashes,153
password,153
receive,152
friendly,152
show,151
listings,151
purchased,151
4,149
problems,149
hate,148
mercari,146
less,145
seems,144
pictures,144
leave,143
favorite,143
wrong,140
unique,139
simple,139
week,139
works,139
brand,138
took,137
online,137
fixed,137
likes,136
started,136
anymore,136
shipped,136
long,135
guys,135
kind,135
amount,135
went,133
come,133
stars,133
thrift,132
year,132
filter,131
honestly,131
layout,130
hope,130
etc,130
delete,129
scroll,129
feedback,129
us,129
scam,128
check,128
're,127
cute,127
small,127
person,126
order,126
either,125
purchases,124
terrible,124
care,124
working,123
couple,123
difficult,123
horrible,122
whole,122
cheap,120
start,120
else,120
error,120
gets,119
done,119
button,119
list,118
crashing,118
process,118
anyone,118
big,118
helpful,118
team,116
updated,116
set,115
customers,115
especially,114
told,114
thanks,114
fashion,114
last,114
posts,114
end,114
fast,113
scrolling,112
gotten,111
tell,111
sizes,111
site,110
address,110
maybe,110
paid,110
products,109
taken,109
1,109
worth,109
around,109
month,109
shops,108
feed,107
lost,107
wo,106
product,104
bugs,104
style,103
bit,103
high,103
screen,103
extra,102
business,102
load,102
thank,101
several,100
least,100
later,100
bc,100
design,100
emails,99
ridiculous,99
constantly,99
seen,99
contacted,99
featured,99
extremely,98
view,98
understand,98
pieces,98
offer,97
basically,96
respond,96
options,96
save,96
specific,95
taking,95
others,95
point,95
transaction,94
completely,94
soon,94
perfect,93
protection,93
follow,93
navigate,92
shoes,92
deleting,92
quality,92
free,92
allow,92
liked,91
fine,91
tracking,91
create,91
awful,91
idea,90
seem,90
brands,89
read,89
huge,88
second,88
goes,88
quite,88
changed,88
enough,87
system,87
wanted,86
loved,86
wait,86
often,85
highly,85
edit,85
enjoy,85
probably,84
past,84
finding,84
u,84
stop,84
purchasing,83
followers,83
emailed,83
looks,82
profile,82
recent,82
longer,82
listed,82
'd,81
asking,81
cant,81
interface,81
thought,81
today,81
part,81
updates,81
results,81
glitches,81
usually,81
verified,80
bank,80
friends,80
happy,80
left,80
full,79
downloaded,79
plus,79
hours,78
due,78
logged,78
half,78
download,78
lots,78
within,78
happened,77
unless,77
whenever,77
access,77
report,77
worst,77
star,76
certain,76
otherwise,75
100,75
searching,75
suspended,75
three,75
disappointed,75
giving,75
section,74
ask,74
im,74
choose,73
removed,73
impossible,73
fact,73
next,73
quick,73
transactions,73
etsy,72
closet,72
safe,72
card,71
algorithm,71
version,71
comes,71
login,71
'll,71
single,71
sort,71
labels,71
na,70
deals,70
matter,69
bug,69
real,69
dont,69
company,68
info,67
rather,67
reset,67
noticed,67
similar,66
asked,66
charge,66
confusing,66
hand,66
20,66
close,66
features,66
tags,66
decided,65
home,65
website,65
lol,65
fair,65
minutes,65
information,65
might,64
deal,64
continue,64
dispute,64
glitch,64
although,63
available,63
hold,63
drop,63
description,63
shows,63
easily,63
spend,62
allows,62
banned,62
experiences,62
cash,62
name,61
recommended,61
rules,61
facebook,61
waste,61
dollars,61
seeing,61
gone,61
seriously,61
automatically,61
finds,60
stores,60
kept,60
low,59
6,59
whatever,59
telling,59
following,59
connect,58
gave,58
become,58
apple,58
reply,58
came,58
package,57
worked,57
photo,57
changes,56
twice,56
ive,56
may,56
ugly,56
bring,55
shirt,55
refunded,55
forever,55
helped,55
type,55
chance,54
finally,54
wont,54
payments,54
rude,54
simply,54
profit,53
wonderful,53
cost,53
rid,53
thrifting,53
decent,53
life,53
careful,53
exposure,53
refresh,53
filters,53
interested,53
bunch,53
popular,52
red,52
posted,52
personal,51
posting,51
fake,51
reported,51
communicate,51
complaints,50
happens,50
via,50
convenient,50
30,50
honest,50
mention,50
questions,50
sense,49
slow,49
ordered,49
actual,49
concept,49
totally,49
feels,49
charged,49
lose,49
allowed,48
mark,48
personally,48
social,48
possible,48
turn,48
example,48
ended,47
heard,47
staff,47
font,47
complaint,47
messaging,47
harder,47
directly,47
based,47
active,47
truly,47
believe,47
total,47
entire,47
immediately,47
orders,47
expensive,47
iphone,47
means,46
gives,46
ability,46
run,46
ones,46
none,46
comments,46
exactly,45
smaller,45
potential,45
format,45
category,45
cause,45
incredibly,45
scammer,45
trouble,45
worse,44
needed,44
unable,44
paying,44
responded,44
idk,44
spam,44
excited,44
useful,44
picture,44
saved,44
figure,44
reasonable,44
added,44
freezes,44
variety,43
