rating,userName,title,review,isEdited,date,developerResponse,keywords,match
3,Hopeful 💖,Love this app but hate the update,"I love shopping on depop. This is from a shopper’s perspective, not a buyers. The worst I’ve ever experienced is sellers either not shipping or not being good at communicating and I tried reaching out to depop about it but ultimately I just let it go because it is what it is. But other than that, I still shopped on depop more cautiously, but now the app is way less appealing to me because the new layout is, there’s two rows of whatever you’re searching for which means more scrolling and more time spent on me trying to find what I want. And I know it’s probably not a huge deal to most especially with issues I was talking about earlier but I just hate it so much. I really prefer the layout of how it was before.",False,2020-10-01 21:32:20,"{'id': 18385960, 'body': ""Hey there,\n\nThanks for the feedback. We love hearing about what we can do to improve Depop for our Community. When you succeed, we succeed. We'll be passing this along to our Product Team.\n\nTeam Depop\n"", 'modified': '2020-10-09T21:40:34Z'}","['love', 'shopping', 'depop', 'shopper', 'perspective', 'buyers', 'worst', 'ever', 'experienced', 'sellers', 'either', 'shipping', 'good', 'communicating', 'tried', 'reaching', 'depop', 'ultimately', 'let', 'go', 'still', 'shopped', 'depop', 'cautiously', 'app', 'way', 'less', 'appealing', 'new', 'layout', 'two', 'rows', 'whatever', 'searching', 'means', 'scrolling', 'time', 'spent', 'trying', 'find', 'want', 'know', 'probably', 'huge', 'deal', 'especially', 'issues', 'talking', 'earlier', 'hate', 'much', 'really', 'prefer', 'layout']",true
2,xochi05,favors aesthetic accounts; notification bugs,I will click everywhere on the app and it will still say I have unread notifications when I don’t- super annoying. Easy to list and item hard to sell due to depops “explore” page only showcases “aesthetically pleasing” photos- photos from their verified people even if the item is sold already it will stay up for days. For people who are first starting out it is hard to reach out to people unless you put a lot of tags- which is actually against the guidelines and over all looks ugly on your photos. Shipping with depop take a giant chunk of your money away when making a sale but if you ship by yourself you are still paying $6/$7 to ship an item AND you still have to pay depop a fee. Disappointed and annoyed.,False,2018-07-19 18:32:10,"{'id': 4540698, 'body': ""Sorry to read you're not enjoying your experience! Please note that our in-house curation team keep an eye out for great images of fun items rather than specific items themselves. We'd encourage you to try and check out some of the image styles on the Explore page if you're hoping to make it on there. Thanks, Team Depop"", 'modified': '2018-08-06T12:02:28Z'}","['click', 'everywhere', 'app', 'still', 'say', 'unread', 'notifications', 't-', 'super', 'annoying', 'easy', 'list', 'item', 'hard', 'sell', 'due', 'depops', '“', 'explore', '”', 'page', 'showcases', '“', 'aesthetically', 'pleasing', '”', 'photos-', 'photos', 'verified', 'people', 'even', 'item', 'sold', 'already', 'stay', 'days', 'people', 'first', 'starting', 'hard', 'reach', 'people', 'unless', 'put', 'lot', 'tags-', 'actually', 'guidelines', 'looks', 'ugly', 'photos', 'shipping', 'depop', 'take', 'giant', 'chunk', 'money', 'away', 'making', 'sale', 'ship', 'still', 'paying', '6/', '7', 'ship', 'item', 'still', 'pay', 'depop', 'fee', 'disappointed', 'annoyed']",true
1,Miss Grisius,Sellers are dishonest and disappointing,"This app is the least professional of any of the online selling apps. I’ve used Poshmark and Mercari with very few issues. All of the sellers I have come into contact with on Depop have sent me items that qualified for a dispute, but I didn’t want to deal with it. The items did not match the description, photos have all been purposefully deceitful. Sellers should not stay on your app or be able to get by with five stars when they ship out damaged merchandise for a pretty penny. I don’t love the layout or shipping options that sellers have. I feel like shipping has been exorbitantly expensive. I sell online too. I get it. It’s why I use these apps and don’t appreciate being treated like this as a customer. I will be leaving depop soon. Highly disappointed with every interaction I have had on here.",False,2019-05-19 19:32:16,"{'id': 8771745, 'body': ""Hi there, we're sorry to hear you haven't had the best experience with one of our sellers. Do know that transaction made within the app are protected even if they're not as described. Just send a report to our support team and they'll send some instructions on what to do.\n\nLove, Depop"", 'modified': '2019-05-21T07:35:14Z'}","['app', 'least', 'professional', 'online', 'selling', 'apps', 'used', 'poshmark', 'mercari', 'issues', 'sellers', 'come', 'contact', 'depop', 'sent', 'items', 'qualified', 'dispute', 'want', 'deal', 'items', 'match', 'description', 'photos', 'purposefully', 'deceitful', 'sellers', 'stay', 'app', 'able', 'get', 'five', 'stars', 'ship', 'damaged', 'merchandise', 'pretty', 'penny', 'love', 'layout', 'shipping', 'options', 'sellers', 'feel', 'like', 'shipping', 'exorbitantly', 'expensive', 'sell', 'online', 'get', 'use', 'apps', 'appreciate', 'treated', 'like', 'customer', 'leaving', 'depop', 'soon', 'highly', 'disappointed', 'every', 'interaction']",true
1,~yogabbygabby~,Terrible Customer Service,"Depop offers NO seller / buyer protection, handles all transactions with a 3rd party, and has a huge scam problem. I have used nearly every clothing selling app there is & Depop is by far the worst. They use PayPal for all transactions - so not only will you be charged 10% of your sale by Depop fees, but you will also be charged with PayPal fees. Poshmark, Mercari and Vinted are all far more worth your time to sell or buy clothes. I highly recommend Poshmark if you want to be charged with less fees, receive seller protection and have acceptable customer service. 

There are far better clothing selling platforms that do NOT make you face more fees by going through PayPal as a third party. Not sure why Depop can’t handle $ on their own without using PayPal as a third party? It means more money for them and less for users.",True,2020-03-02 14:29:25,"{'id': 13803045, 'body': ""Hey. We're sorry to hear your experience hasn't gone to plan. If you paid using PayPal, they'll be responsible for issuing your refund. That said, we'll be there to help you through every step of the journey. Our dedicated Support team are on hand to guide our users through situations like this, so just reach out if you need us.\n\nWith regards to our fee, we have this in place to keep Depop up and running, and it allows us to introduce the features our Community love.\n\nTeam Depop"", 'modified': '2020-03-02T11:06:41Z'}","['depop', 'offers', 'seller', 'buyer', 'protection', 'handles', 'transactions', '3rd', 'party', 'huge', 'scam', 'problem', 'used', 'nearly', 'every', 'clothing', 'selling', 'app', 'depop', 'far', 'worst', 'use', 'paypal', 'transactions', 'charged', '10', 'sale', 'depop', 'fees', 'also', 'charged', 'paypal', 'fees', 'poshmark', 'mercari', 'vinted', 'far', 'worth', 'time', 'sell', 'buy', 'clothes', 'highly', 'recommend', 'poshmark', 'want', 'charged', 'less', 'fees', 'receive', 'seller', 'protection', 'acceptable', 'customer', 'service', 'far', 'better', 'clothing', 'selling', 'platforms', 'make', 'face', 'fees', 'going', 'paypal', 'third', 'party', 'sure', 'depop', 'handle', 'without', 'using', 'paypal', 'third', 'party', 'means', 'money', 'less', 'users']",true
3,Depop Ellie,Love the app! But please make better computer/browser interface.,"I love Depop; it is such an incredible way to buy sustainable clothes and for people to make money. However, I would really like to see a better online interface that can be accessed on the computer. Online shopping is usually easier online rather than on an app, and Depop is great in that their app is amazing (probably because it’s intended to be an app), but I would also like to shop Depop on a web browser on my computer. Currently that interface is bad and doesn’t even have all of the functioning features the app does. Please make a better web browser interface!!",False,2020-11-09 15:14:05,"{'id': 19075283, 'body': ""Hey Ellie,\n\nThanks for the feedback. We love hearing about what we can do to improve Depop for our Community. When you succeed, we succeed. We'll be passing this along to our Product Team.\n\nTeam Depop"", 'modified': '2020-11-12T22:37:33Z'}","['love', 'depop', 'incredible', 'way', 'buy', 'sustainable', 'clothes', 'people', 'make', 'money', 'however', 'would', 'really', 'like', 'see', 'better', 'online', 'interface', 'accessed', 'computer', 'online', 'shopping', 'usually', 'easier', 'online', 'rather', 'app', 'depop', 'great', 'app', 'amazing', 'probably', 'intended', 'app', 'would', 'also', 'like', 'shop', 'depop', 'web', 'browser', 'computer', 'currently', 'interface', 'bad', 'even', 'functioning', 'features', 'app', 'please', 'make', 'better', 'web', 'browser', 'interface']",true
4,kbodiroga,Amazing App,"This app was the answer to my prayers. That other one posh mark demands high end and near perfect condition items. What about vintage? What about cute stuff that might have a little hole in it but you want to get rid of for a reasonable price? It’s amazing because it brings people together to reuse and make a little extra cash (or a lot of you work really hard at it). For the most part the Depop community is wonderful and I’ve had 98% good experiences. The one criticism I have of the app is that it updates like weekly! It’s crazy, every time I got to open it, it seems it needs a new update and it’s pretty annoying!",False,2018-07-21 15:59:02,"{'id': 4690997, 'body': 'Thanks for leaving us a review! We release updates often because we want to provide our users with feature improvements or glitch fixes ASAP; we hope you agree that this is worth it. Thanks again! Team Depop', 'modified': '2018-08-16T16:00:01Z'}","['app', 'answer', 'prayers', 'one', 'posh', 'mark', 'demands', 'high', 'end', 'near', 'perfect', 'condition', 'items', 'vintage', 'cute', 'stuff', 'might', 'little', 'hole', 'want', 'get', 'rid', 'reasonable', 'price', 'amazing', 'brings', 'people', 'together', 'reuse', 'make', 'little', 'extra', 'cash', 'lot', 'work', 'really', 'hard', 'part', 'depop', 'community', 'wonderful', '98', 'good', 'experiences', 'one', 'criticism', 'app', 'updates', 'like', 'weekly', 'crazy', 'every', 'time', 'got', 'open', 'seems', 'needs', 'new', 'update', 'pretty', 'annoying']",true
3,Sarahtheapplover,over priced items,i’ve had this app for a while and i used to be able to buy USED stuff at a reasonable price (which it should be considering it’s used) but lately people selling things are selling them above retail and way over priced. the more people who over price their items the more likely others are to do the same. depop also takes a sorta big chunk out of the money when someone buys something from you and it’s very annoying. i sold an item for $10 and was hoping to get $10 from it but depop took some out of it and i got $4 which is annoying,False,2020-04-05 18:29:39,"{'id': 14485923, 'body': ""Hey Sarah, it sounds like you may have a shipping label selected for that sale, if you don't need it no problem, just contact our support team who will be happy to refund it.\n\nStay safe, stay at home, stay you,\nTeam Depop"", 'modified': '2020-04-06T11:00:25Z'}","['app', 'used', 'able', 'buy', 'used', 'stuff', 'reasonable', 'price', 'considering', 'used', 'lately', 'people', 'selling', 'things', 'selling', 'retail', 'way', 'priced', 'people', 'price', 'items', 'likely', 'others', 'depop', 'also', 'takes', 'sorta', 'big', 'chunk', 'money', 'someone', 'buys', 'something', 'annoying', 'sold', 'item', '10', 'hoping', 'get', '10', 'depop', 'took', 'got', '4', 'annoying']",true
2,Ambie1023,ugly layout now,before the new update depop looked like instagram and i was so easy to use and scroll through clothing but now they changed the layout to show only 2 photos side by side. this makes it so much longer to scroll through brands and items and it’s ugly af. super upset about this update and makes me not want to use the app. i’m also a seller on there and one of my items was removed for NO reason i reached out to depop and they told me not to repost it or they’ll delete my account... i really want to sell it on depop but looks like i have to list it on poshmark or something else. so annoying,False,2020-08-02 20:37:29,"{'id': 18883562, 'body': ""Hey there,\n\nThanks for the feedback. We love hearing about what we can do to improve Depop for our Community. When you succeed, we succeed. We'll be passing this along to our Product Team.\n\nTeam Depop"", 'modified': '2020-11-03T22:56:44Z'}","['new', 'update', 'depop', 'looked', 'like', 'instagram', 'easy', 'use', 'scroll', 'clothing', 'changed', 'layout', 'show', '2', 'photos', 'side', 'side', 'makes', 'much', 'longer', 'scroll', 'brands', 'items', 'ugly', 'af', 'super', 'upset', 'update', 'makes', 'want', 'use', 'app', 'also', 'seller', 'one', 'items', 'removed', 'reason', 'reached', 'depop', 'told', 'repost', 'delete', 'account', '...', 'really', 'want', 'sell', 'depop', 'looks', 'like', 'list', 'poshmark', 'something', 'else', 'annoying']",true
4,Gekxoogkfbscgaic,consider new payment,"I love this app, but i’m having a lot of trouble with paypal. for some reason theres always a problem with trying to print the shipping labels because apparently my account isn’t “verified” but when I try to work it out paypal shows that there is nothing wrong with my account. paypal always seems to be a problem. I suggest you consider new payment options for depop users because this is beyond annoying.",False,2020-06-03 05:30:39,"{'id': 15777861, 'body': ""Hey, sorry about this.\n \nIf you can follow this link and submit a request if you're still struggling that would be great. https://depophelp.zendesk.com/hc/en-gb/articles/360046290994-I-can-t-access-my-shipping-label-USPS-MyHermes-\n \nTeam Depop\n\n"", 'modified': '2020-06-04T13:41:19Z'}","['love', 'app', 'lot', 'trouble', 'paypal', 'reason', 'theres', 'always', 'problem', 'trying', 'print', 'shipping', 'labels', 'apparently', 'account', '“', 'verified', '”', 'try', 'work', 'paypal', 'shows', 'nothing', 'wrong', 'account', 'paypal', 'always', 'seems', 'problem', 'suggest', 'consider', 'new', 'payment', 'options', 'depop', 'users', 'beyond', 'annoying']",true
3,Plz I want live wallpapers,Will Give a Better Review once CHANGES ARE MADE.,"I’ve heard sooo much ab this app, and it sounds amazing! i go through the process taking pictures of everything that i can sell, and BAM, it asks for a paypal. I don’t have a paypal, because i’m underage for it. So basically i can even use the app. what the actual heck? never heard of having to have paypal in order to use an app like that. You might wanna ask Poshmark,Mercari, Letgo, and Vinted for some advice on how to do so! None of my friends have paypal either, so you just lost some users:(",False,2018-03-20 03:21:29,"{'id': 2887763, 'body': ""Hey there - If you're under 18 you can sign up for an account by using a parent or guardians PayPal account details, provided you've received permission to do so first. We hope this helps as it would be great to have you on-board. Thanks! Team Depop"", 'modified': '2018-03-21T11:50:45Z'}","['heard', 'sooo', 'much', 'ab', 'app', 'sounds', 'amazing', 'go', 'process', 'taking', 'pictures', 'everything', 'sell', 'bam', 'asks', 'paypal', 'paypal', 'underage', 'basically', 'even', 'use', 'app', 'actual', 'heck', 'never', 'heard', 'paypal', 'order', 'use', 'app', 'like', 'might', 'wan', 'na', 'ask', 'poshmark', 'mercari', 'letgo', 'vinted', 'advice', 'none', 'friends', 'paypal', 'either', 'lost', 'users']",true
